记录数,地区,pop,year
1,吉林省,2751,2013年
1,黑龙江省,3835,2013年
1,上海市,2415,2013年
1,江苏省,7939,2013年
1,浙江省,5498,2013年
1,安徽省,6030,2013年
1,福建省,3774,2013年
1,江西省,4522,2013年
1,山东省,9733,2013年
1,河南省,9413,2013年
1,湖北省,5799,2013年
1,湖南省,6691,2013年
1,广东省,10644,2013年
1,广西壮族自治区,4719,2013年
1,海南省,895,2013年
1,重庆市,2970,2013年
1,四川省,8107,2013年
1,贵州省,3502,2013年
1,云南省,4687,2013年
1,西藏自治区,312,2013年
1,陕西省,3764,2013年
1,甘肃省,2582,2013年
1,青海省,578,2013年
1,宁夏回族自治区,654,2013年
1,新疆维吾尔自治区,2264,2013年
1,北京市,2152,2014年
1,天津市,1517,2014年
1,河北省,7384,2014年
1,山西省,3648,2014年
1,内蒙古自治区,2505,2014年
1,辽宁省,4391,2014年
1,吉林省,2752,2014年
1,黑龙江省,3833,2014年
1,上海市,2426,2014年
1,江苏省,7960,2014年
1,浙江省,5508,2014年
1,安徽省,6083,2014年
1,福建省,3806,2014年
1,江西省,4542,2014年
1,山东省,9789,2014年
1,河南省,9436,2014年
1,湖北省,5816,2014年
1,湖南省,6737,2014年
1,广东省,10724,2014年
1,广西壮族自治区,4754,2014年
1,海南省,903,2014年
1,重庆市,2991,2014年
1,四川省,8140,2014年
1,贵州省,3508,2014年
1,云南省,4714,2014年
1,西藏自治区,318,2014年
1,陕西省,3775,2014年
1,甘肃省,2591,2014年
1,青海省,583,2014年
1,宁夏回族自治区,662,2014年
1,新疆维吾尔自治区,2298,2014年
1,北京市,2171,2015年
1,天津市,1547,2015年
1,河北省,7425,2015年
1,山西省,3664,2015年
1,内蒙古自治区,2511,2015年
1,辽宁省,4382,2015年
1,吉林省,2753,2015年
1,黑龙江省,3812,2015年
1,上海市,2415,2015年
1,江苏省,7976,2015年
1,浙江省,5539,2015年
1,安徽省,6144,2015年
1,福建省,3839,2015年
1,江西省,4566,2015年
1,山东省,9847,2015年
1,河南省,9480,2015年
1,湖北省,5852,2015年
1,湖南省,6783,2015年
1,广东省,10849,2015年
1,广西壮族自治区,4796,2015年
1,海南省,911,2015年
1,重庆市,3017,2015年
1,四川省,8204,2015年
1,贵州省,3530,2015年
1,云南省,4742,2015年
1,西藏自治区,324,2015年
1,陕西省,3793,2015年
1,甘肃省,2600,2015年
1,青海省,588,2015年
1,宁夏回族自治区,668,2015年
1,新疆维吾尔自治区,2360,2015年
